기호,정책 공약,정책 공약_tokens
기호 10번,박근혜 대통령 재심을 통한 거짓 세력의 응징과 적폐수사로 수감된 인사들의 석방과 사면,박근혜 대통령 재심 거짓 세력 응징 적폐 수사 수감 인사 석방 사면
기호 10번,5•18 역사왜곡처벌법(5•18민주화운동특별법) 폐지와 5•18유공자 공개,역사왜곡 처벌 법 민주화 운동 특별법 폐지 유공 공개
기호 10번," 중대재해처벌법 폐지와 노동이사제 도입 반대, 탈원전 정책 폐기",중대 재해 처벌 법 폐지 노동 사제 도입 반대 원전 정책 폐기
기호 11번,적폐 청산 및 악법 폐지,적폐 청산 악법 폐지
기호 11번,소득주도성장정책 폐기 및 성장중심경제정책 추진,소득 주도 성장 정책 폐기 성장 경제정책 추진
기호 11번,국가건전재정법 제정과 포퓰리즘정책의 억제,국가 건전 정법 제정 포퓰리즘 정책 억제
기호 11번,방역체계 개혁,방역 체계 개혁
기호 11번,혁신적 국토균형발전정책 추진,혁신 국토 균형발전 정책 추진
기호 11번,탈원전정책 폐기 및 원전산업의 육성,원전 정책 폐기 산업 육성
기호 11번,민노총⋅전교조 해체,민노총 전교조 해체
기호 11번,교육제도 혁신,교육제도 혁신
기호 11번,선거개혁 제도,선거 개혁 제도
기호 11번, 내각제개헌 및 민주통합정부 음모 분쇄,내각제 개헌 민주 통합 정부 음모 분쇄
기호 12번,"땅보다 땀, 일하는 사람들이 행복한 나라",땅 땀 사람 나라
기호 12번,모두를 위한 성평등한 나라,평등 나라
기호 12번,농민기본법 제정으로 농업대혁명 자영업자 생계 전면보장 노점상도 경제적 주,농민 법 제정 농업 대혁명 자영 업자 생계 전면 보장 노점상 경제
기호 12번,"일하는 청소년, 집 없는 청년, 모두를 위한 평등사회",청소년 집 청년 평등 사회
기호 12번,부동산 투기공화국 해체하고 제2의 토지개혁 실현,부동산 투기 공화국 해체 토지개혁 실현
기호 12번,"기후위기, 지금이 아니면 안됩니다",기후 위기 지금
기호 12번,모두가 차별없이 함께사는 세상 무상교육•무상의료•무상돌봄 시대,차별 세상 무상교육 무상 의료 무상 시대
기호 12번,부자에게 세금을! 재벌해체로 경제민주화 실현,부자 세금 재벌해체 경제민주화 실현
기호 12번,"국회의원 특권 폐지, 직접민주주의, 선거제도 개혁으로 정치개혁 실현",국회의원 특권 폐지 직접 민주주의 선거 제도 개혁 정치 개혁 실현
기호 12번, 한반도 평화번영통일 시대,한반도 평화 번영 통일 시대
기호 13번,국민의 삶이 행복한 부동산시장 안정,국민 삶 부동산 시장 안정
기호 13번,민생경제에 활력을 주는 감세,민생 경제 감세
기호 13번,자유경제와 혁신성정을 통한 세계 5대 경제강국,자유 경제 혁신 세계 경제 강국
기호 13번,갈등해소를 통한 국민화합과 통합,갈등 해소 국민 화합 통합
기호 13번,청년 성공의 기반을 제공하는 청년 행복,청년 제공 청년 행복
기호 13번,도전과 모험으로 세계를 이끄는 K-청년,도전 모험 세계 청년
기호 13번,한반도와 동북아 평화시대를 여는 안보와 평화,한반도 동북아 평화 시대 안보 평화
기호 13번,한민족 공동번영의 초석 통일헌법 제정,한민족 번영 초석 통일 헌법 제정
기호 13번,자주 만나 좋은 친구 남북정상회담,자주 친구 남북정상회담
기호 13번, 손에 손잡고 벽을 넘어서 민간교류,벽 민간 교류
기호 14번,한반도 프로젝트,한반도 프로젝트
기호 14번,정권교체가 아니라 정치교체,정권 교체 정치 교체
기호 14번,"대통령은 외치, 내각은 내치",대통령 외치 내각
기호 14번,"정치 논리에서 벗어난 장관 인선, 책임을 지는 행정",정치 논리 장관 인선 책임 행정
기호 14번,국가진단위원회 구성,국가 진단 위원회 구성
기호 14번,청와대 참모의 전문화,청와대 참모 전문화
기호 14번,공정한 공기업 대표 인선,공기업 대표 인선
기호 14번,"국민주거권 보장, 주택부(가칭) 신설",국민 주거권 보장 주택 부 신설
기호 14번,법률개정위원회 구성,법률 개정 위원회 구성
기호 14번, 의료복지 확대,의료 복지 확대
